GEO.id2,HC03_EST_VC01,GEO.id2,HC02_EST_VC03,HC02_EST_VC04,HC02_EST_VC05,HC02_EST_VC06,HC02_EST_VC09,HC02_EST_VC10,HC02_EST_VC11,HC02_EST_VC12,HC02_EST_VC13,HC02_EST_VC14,HC02_EST_VC15,HC02_EST_VC17,HC02_EST_VC18,GEO.id2,HC04_EST_VC01,GEO.id2,HC04_EST_VC26,GEO.id2,HD01_VD01
Id2,Percent with a disability; Estimate; Total civilian noninstitutionalized population,Id2,Percent; Estimate; Population 18 to 24 years - Less than high school graduate,Percent; Estimate; Population 18 to 24 years - High school graduate (includes equivalency),Percent; Estimate; Population 18 to 24 years - Some college or associate's degree,Percent; Estimate; Population 18 to 24 years - Bachelor's degree or higher,Percent; Estimate; Population 25 years and over - Less than 9th grade,"Percent; Estimate; Population 25 years and over - 9th to 12th grade, no diploma",Percent; Estimate; Population 25 years and over - High school graduate (includes equivalency),"Percent; Estimate; Population 25 years and over - Some college, no degree",Percent; Estimate; Population 25 years and over - Associate's degree,Percent; Estimate; Population 25 years and over - Bachelor's degree,Percent; Estimate; Population 25 years and over - Graduate or professional degree,Percent; Estimate; Percent high school graduate or higher,Percent; Estimate; Percent bachelor's degree or higher,Id2,Percent households receiving food stamps/SNAP; Estimate; Households,Id2,Unemployment rate; Estimate; Population 20 to 64 years,Id2,Estimate; Median household income in the past 12 months (in 2015 Inflation-adjusted dollars)
36005004100,18.1,36005004100,35.3,39.9,23.8,1.1,23.1,21.9,28,12.9,8.6,3.2,2.3,55,5.5,36005004100,52.5,36005004100,18.2,36005004200,25741
36005004200,23,36005004200,24.7,34.6,39.2,1.5,8.9,17.8,35.3,19.3,7.1,9.5,2,73.2,11.5,36005004200,48.2,36005004200,19.4,36005004300,21448
36005004300,13.6,36005004300,10.9,37.2,49.3,2.6,27.4,16.3,28.2,15.8,3.5,7.9,1.1,56.3,8.9,36005004300,48.1,36005004300,14.5,36005004400,22719
36005004400,14.6,36005004400,40.1,27.8,29.2,2.9,19.5,22.8,24.4,18.4,4.2,9.1,1.7,57.7,10.8,36005004400,46.9,36005004400,25.8,36005004600,40950
36005004600,15.1,36005004600,28.6,12.2,59.2,0,7.5,16.7,22.1,28.1,4.4,13.9,7.1,75.7,21.1,36005004600,36.8,36005004600,13.9,36005004800,30301
36005004800,7.9,36005004800,40.4,38.3,18.9,2.4,27.1,20.4,21.8,16.9,5.5,6.5,1.9,52.5,8.3,36005004800,44.8,36005004800,13.5,36005005001,27456
36005005001,9.2,36005005001,26.6,31.7,28.2,13.5,21.5,21.6,26.2,15,5,7.4,3.5,56.9,10.8,36005005001,52,36005005001,14,36005005002,28039
36005005002,8.9,36005005002,50.5,22.2,25.5,1.8,29,17.5,22.2,16.4,7.8,5.4,1.8,53.5,7.2,36005005002,44,36005005002,12.6,36005005100,18633
36005005100,17.3,36005005100,42,27.8,28.8,1.3,23.8,18.7,27.7,18.1,4.9,6.2,0.6,57.6,6.8,36005005100,63.3,36005005100,20.9,36005005200,17756
36005005200,15.2,36005005200,47.6,8.7,39,4.8,20.1,19.7,29.8,19.9,3.5,4.9,2,60.1,6.9,36005005200,52.4,36005005200,8.6,36005005300,17719
36005005300,16.9,36005005300,34.4,17.1,48.6,0,11.9,23.2,22.6,14.4,11.3,11.5,5.1,64.8,16.6,36005005300,61.9,36005005300,19.3,36005005400,27380
36005005400,11.6,36005005400,17.1,33,45.7,4.1,22.2,19.8,30.5,16,4.3,6.3,0.9,58,7.2,36005005400,43.2,36005005400,8.7,36005005600,17771
36005005600,17.3,36005005600,26.3,23.4,40,10.3,23.2,17.3,34.8,13.9,4.9,5.8,0,59.4,5.8,36005005600,57.1,36005005600,16.8,36005005902,38542
36005005902,9.9,36005005902,36.3,29.5,27.7,6.5,24.2,10.2,22.3,19.7,5.1,9.4,9.1,65.5,18.5,36005005902,36.2,36005005902,11.8,36005006000,41190
36005006000,9.2,36005006000,14,19.6,66.4,0,12.2,14.1,26.7,16.3,5.4,21.1,4.3,73.8,25.3,36005006000,37,36005006000,9.6,36005006100,48298
36005006100,17,36005006100,20.8,8.7,70.5,0,4,8,25.7,19.9,8.1,21.5,12.9,88,34.4,36005006100,10.7,36005006100,8,36005006200,24480
36005006200,16.2,36005006200,29.3,24.5,46.2,0,27.9,25.9,22.6,14.3,1.3,5.8,2.1,46.2,7.9,36005006200,46.1,36005006200,11.3,36005006300,32064
36005006300,18.4,36005006300,38.9,19.6,38.6,2.9,18,12.9,25.8,16.2,5.9,16.9,4.4,69.1,21.3,36005006300,41.5,36005006300,13,36005006400,30726
36005006400,13.1,36005006400,14.6,26.5,45.9,13,7.5,16.2,32.8,17.5,10.6,14.3,1.2,76.3,15.5,36005006400,43.5,36005006400,11.3,36005006500,21384
36005006500,15.7,36005006500,18.2,38.8,39.2,3.8,11.7,16.1,39.1,17,5.3,8.9,2,72.3,10.9,36005006500,51.3,36005006500,9.6,36005006700,21016
36005006700,14.6,36005006700,31.7,20,48.3,0,36.5,19.8,24.4,11.3,2.7,3.9,1.3,43.6,5.2,36005006700,57.3,36005006700,14.4,36005006800,47232
36005006800,6.1,36005006800,8.9,22.5,68.6,0,16.5,8.7,31.2,23.1,6.7,12.9,0.9,74.8,13.8,36005006800,23.1,36005006800,11.4,36005006900,19741
36005006900,17.2,36005006900,36.4,27.2,34.6,1.9,22.8,16.5,19.6,16,7.7,10.3,7.1,60.7,17.4,36005006900,64.4,36005006900,17.2,36005007000,34191
36005007000,9.1,36005007000,32.8,32.3,27.8,7.2,16.3,22.6,29,16.3,4.1,10,1.7,61.1,11.7,36005007000,44.1,36005007000,9.2,36005007100,38289
36005007100,6.5,36005007100,9.3,32.9,55.4,2.3,10.8,14.4,28.2,18.7,5.2,18.1,4.6,74.7,22.7,36005007100,39.8,36005007100,12.9,36005007200,37634
36005007200,9.6,36005007200,9.6,27,50.5,13,14.8,17.8,25.7,13.5,6.9,12.7,8.7,67.4,21.3,36005007200,35.9,36005007200,7.7,36005007300,18358
36005007300,17.2,36005007300,37.7,33.1,29.1,0,24.7,20.6,24.5,17.1,7.7,5,0.5,54.7,5.5,36005007300,56.6,36005007300,17.6,36005007400,44455
36005007400,12.8,36005007400,16,33.9,33.1,17.1,9.6,11.6,28.9,21.3,6.2,15.1,7.3,78.8,22.4,36005007400,24,36005007400,6.7,36005007500,25452
36005007500,14.4,36005007500,34.6,30.6,31.7,3,16.7,15.5,26.8,22,5.2,10.5,3.4,67.8,13.9,36005007500,46.5,36005007500,7.9,36005007600,33465
36005007600,9.9,36005007600,26.7,29.7,38.2,5.4,22.9,16.1,25.4,19.4,5.4,6.7,4.1,61,10.8,36005007600,39.3,36005007600,9.7,36005007700,26486
36005007700,10.6,36005007700,29.8,24.6,38.5,7.1,16.1,14.9,30.2,20.2,5.6,9.6,3.6,69.1,13.1,36005007700,40.6,36005007700,13.2,36005007800,30437
36005007800,10.7,36005007800,35,36.4,17.9,10.7,20.9,12.5,30.7,16.4,6.3,11.4,1.9,66.7,13.2,36005007800,39.8,36005007800,15.7,36005007900,24278
36005007900,16.7,36005007900,25.2,33.8,35.7,5.3,25.1,22.1,29.9,9.7,5.5,6.2,1.5,52.8,7.7,36005007900,55.7,36005007900,14.7,36005008300,19818
36005008300,15.2,36005008300,43.3,15.8,37.6,3.2,26,22.3,21.4,14.6,2,10.8,3,51.7,13.8,36005008300,56.3,36005008300,11.9,36005008400,60135
36005008400,12.7,36005008400,23.3,13.6,47.1,16,12.9,6.8,22.8,24.5,10.7,14.5,7.7,80.3,22.2,36005008400,21.9,36005008400,9.8,36005008500,27174
36005008500,14,36005008500,27.5,31.8,28.3,12.4,21.6,23.5,20,16.9,5.6,8.2,4.1,54.9,12.3,36005008500,47.7,36005008500,15,36005008600,23045
